<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
USDRUB_TOM,D,2015-02-02,000000,69.221,70.509,68.255,68.42,5278667000,0
USDRUB_TOM,D,2015-02-03,000000,67.72,68.3,64.797,65.168,5133456000,0
USDRUB_TOM,D,2015-02-04,000000,65.067,68.555,64.507,67.993,4547326000,0
USDRUB_TOM,D,2015-02-05,000000,68.161,69,65.932,66.6,4573916000,0
USDRUB_TOM,D,2015-02-06,000000,65.792,67.58,65.561,66.985,3724692000,0
USDRUB_TOM,D,2015-02-09,000000,66.535,66.939,65.1,65.86,3498846000,0
USDRUB_TOM,D,2015-02-10,000000,65.356,66.955,65.029,65.455,3323332000,0
USDRUB_TOM,D,2015-02-11,000000,65.528,66.914,65.02,65.25,3172704000,0
USDRUB_TOM,D,2015-02-12,000000,65.169,67.5,64.5,65.27,5233103000,0
USDRUB_TOM,D,2015-02-13,000000,64.753,65.6,63,63.5,4183754000,0
USDRUB_TOM,D,2015-02-16,000000,63.048,63.594,61.95,63.184,4075016000,0
USDRUB_TOM,D,2015-02-17,000000,63.131,63.36,62.142,62.505,3709354000,0
USDRUB_TOM,D,2015-02-18,000000,62.417,62.75,61.17,61.582,4245591000,0
USDRUB_TOM,D,2015-02-19,000000,61.946,62.575,61.67,61.9,4347256000,0
USDRUB_TOM,D,2015-02-20,000000,61.749,62.307,61.45,62.05,3741384000,0
USDRUB_TOM,D,2015-02-24,000000,63.727,64.2,62.648,62.853,3375022000,0
USDRUB_TOM,D,2015-02-25,000000,62.747,62.969,61.27,61.389,3839789000,0
USDRUB_TOM,D,2015-02-26,000000,61.171,61.388,59.601,61.15,4688119000,0
USDRUB_TOM,D,2015-02-27,000000,61.124,62.097,60.861,61.6,4334775000,0
USDRUB_TOM,D,2015-03-02,000000,61.95,62.729,61.725,62.65,2638400000,0
USDRUB_TOM,D,2015-03-03,000000,62.38,62.5,61.65,61.887,2804924000,0
USDRUB_TOM,D,2015-03-04,000000,61.986,62.34,61.538,61.945,2846953000,0
USDRUB_TOM,D,2015-03-05,000000,62.01,62.076,60.451,60.821,2634599000,0
USDRUB_TOM,D,2015-03-06,000000,60.404,60.584,59.282,60.445,3932853000,0
USDRUB_TOM,D,2015-03-10,000000,60.801,62.739,60.12,62.53,4466364000,0
USDRUB_TOM,D,2015-03-11,000000,62.24,63.05,61.371,61.617,4133642000,0
USDRUB_TOM,D,2015-03-12,000000,61.459,61.459,60.282,61.19,3255574000,0
USDRUB_TOM,D,2015-03-13,000000,61.362,62.385,60.608,62.249,3858413000,0
USDRUB_TOM,D,2015-03-16,000000,62.298,62.75,61.866,62.192,4163110000,0
USDRUB_TOM,D,2015-03-17,000000,61.951,62.051,61.353,61.45,4016847000,0
USDRUB_TOM,D,2015-03-18,000000,61.249,61.549,58.99,59.335,3291321000,0
USDRUB_TOM,D,2015-03-19,000000,59.536,60.279,59.33,59.994,3236743000,0
USDRUB_TOM,D,2015-03-20,000000,60.137,60.682,59,59.255,4291692000,0
USDRUB_TOM,D,2015-03-23,000000,59.134,59.883,58.581,58.741,3674026000,0
USDRUB_TOM,D,2015-03-24,000000,58.95,58.995,57.45,57.69,4482608000,0
USDRUB_TOM,D,2015-03-25,000000,57.789,58.05,56.612,57.45,4932581000,0
USDRUB_TOM,D,2015-03-26,000000,56.698,57.7,56.039,57.291,4768501000,0
USDRUB_TOM,D,2015-03-27,000000,57.273,58,57.11,57.9,3221462000,0
USDRUB_TOM,D,2015-03-30,000000,58.323,58.677,57.5,57.61,3340489000,0
USDRUB_TOM,D,2015-03-31,000000,57.963,58.27,57.321,58.205,3428339000,0
USDRUB_TOM,D,2015-04-01,000000,58.181,58.494,57.39,57.61,3146760000,0
USDRUB_TOM,D,2015-04-02,000000,57.251,57.406,56.19,56.65,3858083000,0
USDRUB_TOM,D,2015-04-03,000000,56.408,57.18,56.195,56.606,2760184000,0
USDRUB_TOM,D,2015-04-06,000000,56.769,56.769,55.123,55.488,2367492000,0
USDRUB_TOM,D,2015-04-07,000000,55.545,55.83,54.762,55.026,3662136000,0
USDRUB_TOM,D,2015-04-08,000000,54.85,54.85,53.422,53.637,5035716000,0
USDRUB_TOM,D,2015-04-09,000000,53.21,53.347,51.814,51.862,5729071000,0
USDRUB_TOM,D,2015-04-10,000000,51.591,53.74,50.27,53.6,7073508000,0
USDRUB_TOM,D,2015-04-14,000000,51.993,52.245,50.281,50.897,3472921000,0
USDRUB_TOM,D,2015-04-15,000000,50.504,50.85,49.552,49.7,3851941000,0
USDRUB_TOM,D,2015-04-16,000000,49.62,50.304,49.42,49.8,4560438000,0
USDRUB_TOM,D,2015-04-17,000000,50.195,52.799,49.98,51.895,6067023000,0
USDRUB_TOM,D,2015-04-20,000000,51.609,53.85,51.314,53.335,4998439000,0
USDRUB_TOM,D,2015-04-21,000000,53.676,54.168,53.101,53.8,4285429000,0
USDRUB_TOM,D,2015-04-22,000000,53.798,53.975,52.12,52.18,3566970000,0
USDRUB_TOM,D,2015-04-23,000000,52.189,52.432,50.657,50.78,4440642000,0
USDRUB_TOM,D,2015-04-24,000000,50.722,51.5,50.065,50.9,5855032000,0
USDRUB_TOM,D,2015-04-27,000000,50.908,52.06,50.634,51.978,4045898000,0
USDRUB_TOM,D,2015-04-28,000000,52.402,52.635,51.091,51.546,4048926000,0
USDRUB_TOM,D,2015-04-29,000000,51.957,52.1,50.702,51.055,3249662000,0
USDRUB_TOM,D,2015-04-30,000000,51.14,52.239,50.891,51.69,3711435000,0
