Date,Open,High,Low,Close,Volume,Adj Close
2013-02-18,5061.30,5090.70,5052.50,5082.90,1114006000,5082.90
2013-02-15,5052.70,5063.30,5043.20,5054.60,854151400,5054.60
2013-02-14,5024.50,5065.30,5021.20,5057.20,1015527200,5057.20
2013-02-13,4981.50,5032.90,4981.50,5024.50,837223400,5024.50
2013-02-12,4980.30,5002.20,4980.30,4981.50,707999600,4981.50
2013-02-11,4989.40,4997.00,4980.30,4980.30,690162400,4980.30
2013-02-08,4953.30,4989.40,4948.70,4989.40,811939200,4989.40
2013-02-07,4935.00,4957.60,4928.30,4955.80,816581400,4955.80
2013-02-06,4902.60,4949.60,4902.60,4940.50,960948800,4940.50
2013-02-05,4918.70,4918.70,4892.00,4902.60,826234600,4902.60
2013-02-04,4941.90,4971.40,4929.10,4929.10,689876600,4929.10
2013-02-01,4901.00,4943.50,4901.00,4941.90,784939600,4941.90
2013-01-31,4919.10,4927.60,4888.40,4901.00,894894600,4901.00
2013-01-30,4910.80,4928.60,4908.50,4919.10,763115000,4919.10
2013-01-29,4865.60,4917.00,4864.80,4910.80,942912000,4910.80
2013-01-25,4833.80,4858.90,4833.80,4858.90,921466200,4858.90
2013-01-24,4808.40,4837.90,4804.90,4833.80,807628800,4833.80
2013-01-23,4811.50,4825.40,4811.40,4812.10,796233400,4812.10
2013-01-22,4802.20,4825.60,4792.70,4802.90,721563600,4802.90
2013-01-21,4796.70,4803.70,4788.00,4802.20,658803800,4802.20
2013-01-18,4779.70,4805.80,4779.70,4794.70,799878200,4794.70
2013-01-17,4765.00,4808.90,4765.00,4779.70,920551800,4779.70
2013-01-16,4741.90,4765.30,4741.20,4765.00,786506400,4765.00
2013-01-15,4746.90,4756.80,4733.20,4743.00,776957600,4743.00
2013-01-14,4733.80,4754.80,4733.50,4745.70,649593000,4745.70
2013-01-11,4745.90,4757.20,4728.40,4733.80,695219200,4733.80
2013-01-10,4730.10,4750.10,4723.10,4745.20,745813200,4745.20
2013-01-09,4712.80,4732.30,4712.80,4730.10,707592800,4730.10
2013-01-08,4741.70,4756.20,4711.90,4712.30,731907600,4712.30
2013-01-07,4745.80,4770.20,4735.90,4738.10,681791800,4738.10
2013-01-04,4761.40,4761.40,4737.00,4742.90,564794000,4742.90
2013-01-03,4722.90,4763.60,4722.90,4761.40,717371800,4761.40
2013-01-02,4664.60,4726.20,4664.60,4722.90,579783400,4722.90
2012-12-31,4680.40,4680.40,4659.50,4664.60,300459800,4664.60
2012-12-28,4665.00,4701.00,4664.90,4685.30,389823800,4685.30
2012-12-27,4645.60,4666.10,4642.10,4661.40,299375200,4661.40
2012-12-24,4637.10,4655.20,4637.10,4645.60,224568600,4645.60
2012-12-21,4646.60,4669.00,4623.80,4635.20,1411136300,4635.20
2012-12-20,4635.00,4655.30,4624.70,4646.60,1238188800,4646.60
2012-12-19,4618.70,4641.50,4618.00,4633.20,990513000,4633.20
2012-12-18,4593.10,4623.60,4593.10,4610.50,885331600,4610.50
2012-12-17,4595.10,4599.10,4583.10,4588.00,796113800,4588.00
2012-12-14,4592.90,4607.80,4590.20,4595.10,796464600,4595.10
2012-12-13,4591.80,4600.20,4586.20,4592.90,978682400,4592.90
2012-12-12,4581.30,4608.80,4581.30,4591.80,1037151400,4591.80
2012-12-11,4562.40,4585.30,4562.40,4581.30,710361000,4581.30
2012-12-10,4556.50,4575.90,4556.50,4562.40,803551000,4562.40
2012-12-07,4522.00,4557.60,4521.60,4555.90,718021600,4555.90
2012-12-06,4528.00,4535.40,4512.40,4515.70,781872400,4515.70
2012-12-05,4511.80,4531.60,4508.60,4528.00,802672200,4528.00
2012-12-04,4540.00,4544.40,4510.40,4511.80,682130600,4511.80
2012-12-03,4518.00,4546.30,4518.00,4540.00,731889400,4540.00
2012-11-30,4490.10,4524.70,4490.10,4518.00,1748876600,4518.00
2012-11-29,4462.30,4490.10,4461.10,4490.10,883620800,4490.10
2012-11-28,4470.10,4470.10,4448.60,4462.60,768231600,4462.60
2012-11-27,4443.50,4477.50,4442.20,4473.40,855637400,4473.40
2012-11-26,4431.50,4444.90,4431.50,4443.50,609788800,4443.50
2012-11-23,4432.40,4432.50,4417.30,4431.50,606299000,4431.50
2012-11-22,4396.90,4446.20,4394.80,4432.40,837753600,4432.40
2012-11-21,4408.90,4409.20,4387.60,4390.70,710197400,4390.70
2012-11-20,4382.60,4411.80,4382.60,4407.50,780162800,4407.50
2012-11-19,4367.40,4385.00,4362.10,4382.60,817785600,4382.60
2012-11-16,4371.50,4372.20,4355.90,4360.10,862871200,4360.10
