Date	High	Low	Open	Volume	Close	Dividend
06/06/2013	79729.63	73033.7	79166.34	0	75895.26	
06/05/2013	80657.86	78809.73	80177.66	0	79636.79	
06/04/2013	81146.76	78413.91	78413.91	0	80733.25	
06/03/2013	82218.48	76983.66	80463.03	0	76983.66	
05/31/2013	87524.8	84867.35	87278.56	0	85990.01	
05/30/2013	87663.16	86654.56	87037.15	0	87170.23	
05/29/2013	89111.16	87145.75	89111.16	0	87174.54	
05/28/2013	91628.23	89820.01	91097.78	0	89916.41	
05/27/2013	91186.3	90305.96	91169.17	0	90546.75	
05/24/2013	92311.75	90870.35	91706.47	0	91016.31	
05/23/2013	91844.56	90614.49	91169.92	0	91351.4	
05/22/2013	93398.33	91189.12	91514.24	0	93178.87	
05/21/2013	91421.66	90241.23	90750.92	0	91190.82	
05/20/2013	92474.46	89975.65	92172.88	0	90165.14	
05/17/2013	93116.29	91681.89	93095.91	0	91924.84	
05/16/2013	92739.3	91575.74	92235.83	0	91946.74	
05/15/2013	92250.95	91428.76	91549.53	0	92112.07	
05/14/2013	91338.59	90152.29	90386.2	0	91287.14	
05/13/2013	90159.78	88926.83	89367.48	0	89765.18	
05/10/2013	90340.97	88872.61	90218.29	0	89568.89	
05/09/2013	91371.7	89614.86	91037.64	0	89931.15	
05/08/2013	91085.24	89360.83	89738.59	0	90852.21	
05/07/2013	90372.96	89015.49	89954.34	0	89459.45	
05/06/2013	89883.31	88759.86	89055.55	0	89768.71	
05/03/2013	89986.73	88421.71	88971.23	0	89093.7	
05/02/2013	88804.51	86062.93	86255.38	0	88669.73	
04/30/2013	86499.52	85174.32	85570.72	0	86046.04	
04/29/2013	85655.71	84627.58	85325.53	0	85154.15	
04/26/2013	85362.28	84506.9	85041.69	0	85112.29	
04/25/2013	85573.24	84566.65	84962.37	0	84943.49	
04/24/2013	85026.83	84535.74	84748.7	0	84780.38	
04/22/2013	84139.78	83236.63	83611.26	0	84023.36	
04/19/2013	83492.02	82323.01	83468.48	0	83285.45	
04/18/2013	84817.17	82610.97	84517.63	0	83038.3	
04/17/2013	85287.8	84262.26	85007.05	0	84397.87	
04/16/2013	85911.17	84299.46	85165.3	0	84705.64	
04/15/2013	85536.45	84150.32	84310.56	0	85107.29	
04/12/2013	84836.25	83944.5	84316.76	0	84581.07	
04/11/2013	84175.37	83038.79	83038.79	0	84102.61	
04/10/2013	83088.59	82204.37	82865.91	0	82404.32	
04/09/2013	83781.19	82514.04	83598.27	0	82770.42	
04/08/2013	83416.49	82033.19	82299.84	0	83346.51	
04/05/2013	83536.44	82071.25	83536.44	0	82071.25	
04/04/2013	84803.76	83243.81	84803.76	0	83243.81	
04/03/2013	86366.29	84860.07	86190.98	0	84860.07	
04/02/2013	86289.09	85358.13	86091.71	0	86026.67	
04/01/2013	86370.94	85683.07	85811.97	0	86112.33	
03/29/2013	85999.29	85222.67	85397.98	0	85898.99	
03/28/2013	85477.82	84314.72	85057.61	0	85253.95	
03/27/2013	84320.01	83450.41	84155.8	0	84195.16	
03/26/2013	84002.69	82867.6	83046.98	0	83970.92	
03/25/2013	83196.93	82372.19	83032.61	0	82765.64	
03/22/2013	82600.16	81847.66	82399.97	0	82452.04	
03/21/2013	83283.05	82028.07	82109.08	0	82373.94	
03/20/2013	82961.02	82160.84	82488.59	0	82160.84	
03/19/2013	83929.6	82153.84	83703.02	0	82286.32	
03/18/2013	83466.01	82298.04	82298.04	0	83378.82	
03/15/2013	83587.04	82419.46	82541.51	0	83115.48	
03/14/2013	82952.97	81981.58	82766	0	81981.58	
03/13/2013	83552.32	82612.02	83320.98	0	82619.05	
03/12/2013	83785.8	83044.98	83340.34	0	83347.54	
03/11/2013	83932.95	83119.65	83519.07	0	83119.65	
03/08/2013	83763.78	81894.18	82154.31	0	83541.62	
03/07/2013	82717.57	81546.2	82348.26	0	81834.73	
03/06/2013	82398.7	81163.36	81163.36	0	82173.98	
03/05/2013	81603.65	80805.74	80873	0	81051.21	
03/04/2013	80770.58	79823.34	79859.31	0	80612.21	
03/01/2013	79995.13	78649.04	79319.9	0	79867.54	
02/28/2013	79506.25	78292.36	78431.56	0	79333.67	
02/27/2013	78429.05	77198.43	77906.17	0	78166.25	
02/26/2013	77955.93	75831.2	75924.48	0	77514.33	
02/25/2013	76929	75634.39	76073.46	0	76670.32	
02/22/2013	77682.62	75667.54	77607.01	0	75898.69	
02/21/2013	78774.91	77154.43	78350.45	0	77269.15	
02/20/2013	79074.49	78057.57	78533.43	0	78891.26	
02/19/2013	78523.14	77256.6	78017.5	0	78274.87	
02/18/2013	78528.48	77616.14	78419.05	0	77907.51	
02/15/2013	78443.95	76697.64	77773.88	0	78081.4	
02/14/2013	78110.14	76630.45	77973.48	0	77580.5	
02/13/2013	79301.13	77943.39	78549.54	0	77943.39	
02/12/2013	78886.68	77296.6	77516.6	0	78078.81	
02/11/2013	78831.9	77255.83	78831.9	0	77255.83	
02/08/2013	78813.64	77211.22	78324.24	0	78683.99	
02/07/2013	80427.48	78079.29	80147.09	0	78149.29	
02/06/2013	80736.48	79821.49	80293.33	0	80054.41	
02/05/2013	81219.63	79937.99	81011.13	0	80309.85	
02/04/2013	81209.68	79983.4	80355.63	0	80722.66	
02/01/2013	80342.99	78989.19	79050	0	80221.68	
01/31/2013	80364.4	78647.84	79659.66	0	78783.47	
01/30/2013	82564.52	78917.69	82143.17	0	78982.94	
01/29/2013	82225.44	80038.86	80895.48	0	82178.34	
01/28/2013	84905.52	80702.38	84902.67	0	81165.81	
01/25/2013	86614.59	84666.6	86569.97	0	84755.1	
01/24/2013	86787.15	85783.11	86656.73	0	86437.89	
01/23/2013	86497.17	85680.92	85835.22	0	86340.97	
01/22/2013	86497.46	84532.49	85459.72	0	85646.87	
01/21/2013	85719.36	84901.55	85297.46	0	85281.53	
01/18/2013	85596.65	84209.93	85182.14	0	85004.87	
01/17/2013	85395.19	84294.67	84405.25	0	84860.26	
01/16/2013	84173.73	82516.45	82608.62	0	84082.15	
01/15/2013	82512.28	81706.43	81998.62	0	82406.13	
01/14/2013	82219.54	81229.43	81417.2	0	81990.01	
01/11/2013	81351.89	80738.85	81053.04	0	81033.52	
01/10/2013	81505.03	80476.99	81416.08	0	80837.46	
01/09/2013	81150.53	79815.05	80417.23	0	81149.13	
01/08/2013	81077.86	80022.67	80394.87	0	80161.71	
01/07/2013	80443.67	79674.06	79800.65	0	80224.41	
01/04/2013	79959.54	79293.65	79756.88	0	79563.95	
01/03/2013	80165.66	79392.47	79777.24	0	80033.33	
01/02/2013	79689.4	78680.79	78857.34	0	79642.08	
12/31/2012	78671.98	77676.06	78541.95	0	78208.44	
12/28/2012	79077.32	78311.97	79008.08	0	78579.08	
12/27/2012	78862.07	78103.39	78103.39	0	78454.19	
12/26/2012	78239.93	77731.29	77852.44	0	77991.1	
12/25/2012	77783.69	77451.94	77485.82	0	77596.24	
12/24/2012	77544.83	76719.77	76811.17	0	77314.46	
12/21/2012	76892.51	76408.56	76467.23	0	76684.74	
12/20/2012	77435.52	76658.71	76826.7	0	76814.43	
12/19/2012	77889.68	76801.86	77625.13	0	76810.26	
12/18/2012	78136.69	77260.82	77844.94	0	77298.45	
12/17/2012	77529.4	76300.76	76382.45	0	77466.9	
12/14/2012	77362.79	76204.29	77089.16	0	76293.15	
12/13/2012	77804.38	76889.34	77620.16	0	76963.34	
12/12/2012	77466.41	76731.7	77027.55	0	77404.37	
12/11/2012	77573.22	76750.44	76823.63	0	76814.77	
12/10/2012	76954.33	76047.54	76236.01	0	76734.4	
12/07/2012	76346.25	75437.55	75677.96	0	76242.2	
12/06/2012	76247.04	75539.88	75736.08	0	75785.58	
12/05/2012	76131.88	75095.6	75920.4	0	76038.35	
12/04/2012	75547.43	74185.02	74226.88	0	75522.65	
12/03/2012	74298.91	73125.79	73125.79	0	74298.91	
11/30/2012	73074.64	72418.55	72636.8	0	73058.51	
11/29/2012	72891.74	72325.28	72325.28	0	72448.89	
11/28/2012	72462.3	71566.22	72159.22	0	71974.49	
11/27/2012	72608.25	71655.1	72072.24	0	71999.71	
11/26/2012	71910.88	71107.93	71183.76	0	71866.85	
11/23/2012	71079.31	69817.03	70149.13	0	71004.31	
11/22/2012	71058.01	69926.07	70692.48	0	69926.07	
11/21/2012	71435.5	70243.9	70599.25	0	70460.76	
11/20/2012	71083.48	70556.08	70822.76	0	70636.74	
11/19/2012	71143.36	70224.38	70938.81	0	70607.4	
11/16/2012	71763.74	70759.68	71555.55	0	70790.51	
11/15/2012	71623.19	71253.24	71347.88	0	71597.22	
11/14/2012	72552.76	71325.57	72080.11	0	71325.57	
11/13/2012	72015.2	71042.97	71194.48	0	72015.2	
11/12/2012	71884.25	71357.03	71818.19	0	71357.03	
11/09/2012	73013.99	71659.44	72756.56	0	71820.28	
11/08/2012	72664.32	71455.44	71797.23	0	72649.83	
11/07/2012	72805.22	71601.35	72422.71	0	71604.91	
11/06/2012	72851.24	71950.74	72696.23	0	72039.74	
11/05/2012	73313.87	71092.91	71615.09	0	72737.1	
11/02/2012	72513.49	71329.77	72513.49	0	71422.61	
11/01/2012	72940.82	72164.52	72574.24	0	72552.51	
10/31/2012	72703.01	71843.83	71843.83	0	72528.97	
10/30/2012	71716.91	70629.47	70676.54	0	71716.91	
10/24/2012	71013.54	70531.86	70910.83	0	70708.41	
10/23/2012	71341.96	70556.35	71338.42	0	70762.31	
10/22/2012	71294.92	70756.99	70800.44	0	71219.47	
10/19/2012	70817.09	70147.44	70394.14	0	70774.02	
10/18/2012	70923.16	70265.58	70868.74	0	70355.84	
10/17/2012	70828.63	70406.06	70512.99	0	70686.5	
10/16/2012	70619.84	70112.3	70216.12	0	70281.72	
10/15/2012	70001.17	69277.49	69562.97	0	69769.73	
