"","date","BTC","ETH","XRP","BCH","LTC","ADA","NEO","XLM","EOS","DASH","XMR","MIOTA","XEM","ETC","TRX","VEN","LSK","USDT"
"2017-10-16","2017-10-16",5725.59,333.38,0.256232,313.64,64.62,0.028948,28.53,0.036865,0.561856,302.21,95.9,0.450655,0.223181,11.89,0.002156,0.223623,4.96,0.99801
"2017-10-17","2017-10-17",5605.51,317.08,0.232064,371.73,59.48,0.027217,31.4,0.045842,0.552144,299.88,91.28,0.468463,0.218207,11.92,0.001944,0.23373,5.1,0.999335
"2017-10-18","2017-10-18",5590.69,314.32,0.21852,339.17,60.73,0.026691,29.67,0.035133,0.546006,297.26,89.54,0.454575,0.220316,11.53,0.002095,0.293542,5.14,1
"2017-10-19","2017-10-19",5708.52,308.09,0.21515,330.81,59.74,0.027032,28.66,0.031195,0.566708,295.47,88.62,0.433388,0.220531,11.34,0.001915,0.298278,4.98,1
"2017-10-20","2017-10-20",6011.45,304.01,0.210549,327.44,60.33,0.03063,27.75,0.026756,0.540684,289.19,90.54,0.401913,0.215947,11.22,0.001942,0.250629,4.93,1
"2017-10-21","2017-10-21",6031.6,300.19,0.211016,323.36,58.2,0.028436,27.13,0.036429,0.526792,277.86,88.12,0.393045,0.212676,10.92,0.002298,0.249945,4.71,1
"2017-10-22","2017-10-22",6008.42,295.45,0.204177,331.66,56.81,0.027729,28.79,0.031269,0.51797,275.7,86.58,0.392542,0.211949,10.83,0.002583,0.246779,4.74,1
"2017-10-23","2017-10-23",5930.32,286.95,0.196928,315.6,54.92,0.025454,27.51,0.033832,0.493225,284.23,85.21,0.386487,0.199053,10.28,0.002428,0.237541,4.71,0.996536
"2017-10-24","2017-10-24",5526.64,298.33,0.206644,326.89,55.96,0.027193,30.15,0.036649,0.514935,293.2,88.4,0.453682,0.212616,10.6,0.002632,0.243873,5.53,1
"2017-10-25","2017-10-25",5750.8,297.93,0.204604,332.13,56.49,0.027527,28.54,0.035004,0.504073,289.14,88.13,0.443448,0.206495,10.63,0.003033,0.227684,5.2,1
"2017-10-26","2017-10-26",5904.83,296.53,0.203628,338.2,55.74,0.027132,28.33,0.034546,0.518944,286.13,88.58,0.417107,0.199005,10.5,0.002841,0.217957,5.18,0.999868
"2017-10-27","2017-10-27",5780.9,297.42,0.202785,367.57,55.33,0.026382,28.76,0.034236,0.522118,280.48,86.75,0.423355,0.19794,10.38,0.003051,0.206411,4.96,1
"2017-10-28","2017-10-28",5753.09,296.3,0.201835,423.35,54.69,0.025866,27.35,0.031038,0.536368,275.69,86.31,0.395483,0.197236,10.55,0.002999,0.191099,4.68,1
"2017-10-29","2017-10-29",6153.85,305.09,0.202785,451.92,57.11,0.028607,27.76,0.030331,0.665881,283.93,88.65,0.40372,0.201337,10.86,0.002956,0.206581,4.88,1
"2017-10-30","2017-10-30",6130.53,307.75,0.202711,448.23,56.39,0.028583,28.79,0.031804,0.711433,285.94,88.84,0.409046,0.200415,10.87,0.002784,0.21661,4.93,1
"2017-10-31","2017-10-31",6468.4,305.88,0.200558,439.05,55.75,0.030437,28.47,0.029182,0.781782,279.15,87.64,0.390915,0.186771,10.62,0.002814,0.214774,4.74,1
"2017-11-01","2017-11-01",6767.31,291.69,0.194124,531.83,53.18,0.022986,26.86,0.027353,1.05,271.56,85.72,0.36392,0.166645,10.26,0.00251,0.184682,4.51,1
"2017-11-02","2017-11-02",7078.5,287.43,0.205861,587.22,54.74,0.021306,24.5,0.027607,1.12,265.31,83.76,0.366056,0.166887,10.24,0.002312,0.178321,4.33,1
"2017-11-03","2017-11-03",7207.76,305.71,0.208133,625.32,56.18,0.022628,26.82,0.027779,1.21,278.59,87.99,0.393126,0.171728,12.66,0.002227,0.199013,4.54,1.01
"2017-11-04","2017-11-04",7379.95,300.47,0.20375,620.45,55.04,0.022022,26.49,0.027294,1.12,274.68,87.3,0.368643,0.170845,11.89,0.002128,0.218003,4.59,1
